,text,sentiment
0,I'm looking forward to the Conan movie on Friday. You can see it in real time,positive
1,The temperature is rising and it's very comfortable ♪,positive
2,Table tennis player Hitomi Sato is ranked 9th in the world. You've finally made it this far!,positive
3,"I had a dream that when I went to see a Conan movie, Rena Matsui was sitting next to me, and I was so excited that I couldn't remember what it was about. smile",neutral
4,Conan's Karamucho is delicious. It's not hard. smile,positive
5,"I'm looking forward to today's Conan, but I wonder if the last theme song will be cut. . .",neutral
6,It's finally starting! A labyrinth crossroads!,positive
7,Conan was the best. It's been a while since I've seen it so I forgot what it was about but it was fun,positive
8,"And as expected, the theme song was cut, so I played it myself ♪ #Detective Conan",positive
9,The Asian Table Tennis Championships are about to begin! We look forward to the success of the Japanese celebrities.,positive
10,And the high school baseball spring tournament is about to begin!,positive
11,I made a big mistake at work. . .,negative
12,I had a dream that I was in a table tennis tournament. A member of junior high school. It was nostalgic.,neutral
13,"Asian Table Tennis Championships, men's group will lose to South Korea in the semifinals. After all, without Mizutani, Japan would be tough.",negative
14,"Meanwhile, the women's finals are currently underway. Japan vs China.",neutral
15,"I'm watching ""The Assassin in Your Eyes"" today. Nostalgic♪",positive
16,"Ikimonogakari's ""Akane no Yakusoku"" was played in the commercial. This is nostalgic too.",positive
17,"Mao Asada retired. As a classmate, I've been paying attention to him for a long time.",neutral
18,I played table tennis today~♪,positive
19,"Speaking of which, I had another good dream. It was a content that makes me want to stay in my dreams all the time.",positive
20,It's been a long time since I've been eating Ottotto. delicious. And nostalgic.,positive
21,I have high hopes for the individual matches at the Asian Table Tennis Championships!,positive
22,I had a dream that I was going to see the latest Conan movie. It will be released the day after tomorrow♪,positive
23,"And tomorrow, ""Pure Black Nightmare"" will be broadcast. It will be cut a lot, but I'm looking forward to it.",positive
24,"I leave work early today, so I can watch Conan in real time♪",positive
25,It's a strange feeling because I can't go home at this time. smile,positive
26,"Pure black was interesting, but the ending cut is a little disappointing. I can't help it.",negative
27,And the latest work will be released from tomorrow! I'm going to see you next week,positive
28,I just found out that Miu Hirano beat the world number one at the Asian Table Tennis Championships. This is too amazing!,positive
29,"She beat Miu Hirano, as well as the 2nd and 5th ranked players in the world, to win the championship! ! ! This ability is real!",positive
30,It's not the time to say Miu-chan anymore.,neutral
31,"If you win the world championship, you will become a true world champion. I expected to have!",positive
32,Teruyuki Kagawa's acting is too good. . .,positive
33,"Speaking of Teruyuki Kagawa, you once worked as a voice actor for Conan. Even then, his acting ability was outstanding.",positive
34,I'm going to see Kurenai no Koiuta this week! Alone of course! smile,positive
35,It's a weekday so it should be comfortable.,positive
36,"I checked for spoilers before going to see last year, but I won't be watching this year! smile",neutral
37,It's raining a lot. The cherry blossoms are also likely to fall.,negative
38,Will Easter take hold in Japan as well?,neutral
39,"At least, Kyary's ""Good Star"" has stuck with me quite a bit. I can't get it out of my head anymore and it's been playing all day. smile",positive
40,I'm wondering if I should download it. . .,neutral
41,"High school girl AI Rinna-chan, who started using it last year. It's evolving. . .",neutral
42,tomorrow! I'm going to see a Conan movie! The Crimson Love Letter! ! !,positive
43,I'm doing an interview with Aoyama-san!,positive
44,I'm going to see Conan from now on♪,positive
45,"However, it is windy today. .",negative
46,It seems that Aeon Cinema has become a ticket vending machine. I wonder if I can buy it properly (laughs),negative
47,I was able to buy a ticket properly (laughs) It will start in a little over an hour. looking forward to it♪,positive
48,It's opening time♪,positive
49,I just finished watching Kara no Koi Uta! I enjoyed it♪♪♪,positive
50,The character of Momiji Ooka was great~!,positive
51,"Yesterday, I watched a drama featuring Haru, and I personally like that hairstyle. i think it suits you",positive
52,I am immersed in the afterglow of the red love song. . .,positive
53,"I was watching the news station broadcasting accident in real time, but I laughed. Lol No heat at that timing. . .",neutral
54,"After watching this year's Conan movie, I became a little more interested in Hyakunin Isshu. There must be other people who say the same. smile",neutral
55,"Since the communication limit is approaching, I tried data charging for the first time! smile",neutral
56,My throat is starting to hurt. . . ?,negative
57,A friend who used to play table tennis with me is going to Tokyo. Then I won't be able to play table tennis. . .,negative
58,I ate a mountain of mushrooms for the first time in several years. After all it is delicious! I am totally a mushroom mountain fanatic. smile,positive
59,"I really like Haru. I didn't think anything of it until now, but after watching this drama, I fell in love with it.",positive
60,Miu Hirano and Hina Hayata appeared in my dream. It was a nice dream.,positive
61,I wonder what will happen to the spring tournament of high school baseball ~.,neutral
62,I think I can play table tennis only one more time this month.,positive
63,I got burned again. . .,negative
64,"I've been getting a lot of burns, so I don't really care anymore (laughs)",neutral
65,I wonder how far Conan's box office revenue will grow.,positive
