,text,sentiment
0,"Impression that the attack team was dazzling the rise of young people! Of course, Abe-chan's breakthrough (belonging to the World Cup as a U19 must have gained a lot of experience), and after Yume-kun's transfer, Yuma became the ace striker as a matter of course! Kazuma has a dazzling feeling like Yuma from a little while ago, and it was fun to watch.",positive
1,"Kashima story. I felt the light in the defense this year! It's been a long time since I've always chosen GK Soga (I couldn't get enough reinforcements), but this year Suntae has done a great job as the regular GK. Without it, I don't think I would have been able to handle that tight schedule. The interval between matches was really short this year~_:(´_`” ∠):",neutral
2,Modric good! ! !,positive
3,"I'm planning to participate in the miracle autograph session tomorrow morning. Of course, Hello Kitty and Yuko Yamaguchi are my number one target♪(_____)♪ I hope I can make it in time for the reservation ticket. I have to get up early!",positive
4,"All in all, I think it was a good year. From now on, I will drink with my best friend and forget about the year! !",positive
5,"The winter drama has a slightly biased impression. Too many criminals and lawyers?

Personally, I'm looking forward to ""Idaten"" the most! Kudokan script! ! Also, I'd like to watch ""Class 3 A"", ""Scandal Lawyer QUEEN"", ""A story to read on the day you first fell in love"", ""Haken Fortune Teller Ataru"", and ""Mikazuki"". I want to watch all comedies",positive
6,"If you continue to yell and be showered, you will become nothing.",negative
7,"Itakura's overseas transfer is surprising! And to Groningen via Man C. The time has come for DFs to gain more and more experience overseas, it's amazing! I want you to do your best! !",positive
8,"Uzbekistan war!
Work is a train packed in a rucksack and jumped on. Even with 10 players, the starting line-up is gorgeous~, today's offense is also exciting! !",positive
9,"Become a Freaks member immediately.
I will support the Antlers again this year__
Before you know it, he has been a supporter for 17 years.
2019 target 1/100 achieved!",positive
10,"I have too much work
My brain is about to explode...",negative
11,I want to turn off my phone and run away!,negative
12,I can't sleep because I'm afraid to go to sleep. I'm scared of work.,negative
13,"Life is such that no matter how hard you try, you will not be rewarded. The number girl sinks in.",negative
14,A crazy week is over. I want to sleep for now.,neutral
15,There was a problem of repaying the scholarship as a reason why he could not throw everything away and disappear.,negative
16,Senpai looks like a cat (looks like a stray cat because he looks like a stray cat)! So cute! ! What are these desires and emotions that make you want to I really want to pet him.,neutral
17,"The news about Rikako Ikee was really shocking. Even though I'm trying so desperately, I can't help it because the disease is equal.",negative
18,"I work too much overtime and can go home when the train is running! Moreover, there is no drowsiness because I am desperate to do too many tasks! The morning glow is just amazing. But endure, live, until you see Nanbaga.",neutral
19,"Lately, I've been working overtime every day, working 16 hours once every two days, my stomach hurts and I feel like throwing up, but my work never ends, and my boss relentlessly hands me a new job.",negative
20,The trend is to respond to all orders within 10 minutes. I have other issues as well. Even though I work hard every day. Or my sleep time? What about meals? Where is the time to take a bath? ?,negative
21,"Promises are important, aren't they?",neutral
22,I miss my best friend! very.,positive
23,"Kashima vs Iwata on 3/30, I was worried but decided to go see it (´∀｀=)! Work hard with this as your motivation! I'm looking forward to my first time at Yamaha Stadium. I wish I could go to a lot of stadiums I haven't been to this year.",positive
24,"I'm going to eat with my best friend today. It was my birthday last month, so congratulations. No matter how old I am I want to be positive to age ~.",positive
25,Get up early and go on a business trip to Kyoto. Wake up listening to Michelle.,neutral
26,Fatigue and headache due to pollen. Go to bed today. See you tomorrow good night.,negative
27,"Yemon's new song ""i don't know"" is really cool. I've always thought he was born 10 years too late because Iemon, Michelle, and Nanbaga had disbanded, but the current times aren't bad either.",neutral
28,"Sho Ito's explosion is amazing. Since coming to Kashima, I have scored in almost every game.",positive
29,It's sad that one of my favorite seniors has quit (and I didn't know she quit).,negative
30,"Reiwa, a very nice era name! You can feel the dignified Japaneseness. Kanji is beautiful after all.",positive
31,Ginza date with my mother yesterday was so much fun! But I regretted it because I was quite extravagant. . I'll do my best to live a frugal life again from today.,positive
32,"Achieved 2019 target of 4/100__
Became a Freaks member, visited the first stadium, bought repetto shoes, paid off the scholarship early.",positive
33,"I hope someday I can be the person I love. But right now, I just want my loved ones to be happy. in any form.",positive
34,"NHK, Mana Ashida's comment is solid and impressed. She once again realizes how wonderful it is to be smart.",positive
35,"Nothing special happened, but I'm happy. I gradually think. I wonder what it is. Listening to my favorite music, thinking about my favorite person from time to time, it's sunny today and I feel happy.",positive
36,"Yesterday's NHK ""Sayonara Alone Kai"" was really good. The art and program design are cute.",positive
37,Gamba's Meino-san's miracle goal. I felt invincible. .,positive
38,Arasa who still can't get rid of the alcohol he drank on Saturday.,negative
39,"I want to watch the U20 World Cup, so I'm going to sleep. can i wake up good night.",neutral
40,It's the season when the train air conditioning is too strong and freezes. .,negative
41,"My stomach hurts. The rain is cold. If you become desperate, you're done.",negative
42,"The anemia is unbelievably bad. finally leave home The fact that I can endure being tortured like this every month is probably motherhood for the sake of someday. For a long time, I felt strongly that I wanted to get married.",negative
43,"Hate can turn into love, but I can never forgive someone who once did something unforgivable. Or rather, I'm not interested. Is that bad? Are you narrow-minded?",negative
44,"Was it against Russia today in 2002? 17 years ago. I can talk endlessly about this World Cup. I loved Troussier Japan. Takayuki Suzuki's goal against Belgium touched my heart and he's been my hero ever since. I still love the famous quote left in the Super Soccer interview, ""When I can't move forward, I walk sideways.""",positive
