,text,sentiment
0,It's time like this when I'm stupid. I have a bike so I want to go out to eat...,negative
1,The moon is white and bright today. There are fewer clouds than yesterday and it's beautiful ~ On the way home I stop. Life without a bicycle is not bad.,positive
2,"I intended to go to bed early, but I ran out of drinks and went to a convenience store. Hmm, the wind is cool today.",neutral
3,"sleepy, can't sleep",negative
4,I'm doing rhythmic gymnastics right now! I'm so full of eating out that I have nothing at home! I can't leave the TV...!,neutral
5,Facial muscles are weakening. Not bad...,negative
6,"terrible. It's interesting ~ I tried thinking about ""a lot of charades"". It's too good.",positive
7,I'm hungry...Recruiting friends for dinner.,neutral
8,slept well. I dreamed of a runaway bus. From,neutral
9,"I didn't notice it because I was uploading it recently, but when I blow it properly, it looks like the popular Natsuki Komiyama (late). If this feeling settles, perm it.",positive
10,"End of month meeting. As usual, I'm depressed about my lack of meeting skills. I have no choice but to run. Let's go to the batting center!",neutral
11,COWCOW Yoshi's complexion has been looking bad lately. Are you sick?,negative
12,I want shampoo...,neutral
13,"BIGBANG people appeared on Emi Channel. Right now, the swimming tateishi are too similar. Both are good at talking half-heartedly and are a little annoying. But I like Tateishi.",neutral
14,"I cooked for myself for a long time. I've been told that I've lost a lot of weight recently, so I'm going to eat a lot of side dishes that make rice go well. I ate two and a half meals. Alright!",positive
15,rain... (laughs),neutral
16,Hallux valgus worsened. Why? Do you really need treatment?,negative
17,Suspicion crosses my mind that the person I'm waiting for won't come. It's getting cooler.,negative
18,"A reunion with a friend who once talked about his dream for the first time in several years! I'm sure there's a lot of things to do with each path, but I was happy to be able to laugh like I used to. 4 more years until the future we saw a long time ago. Good luck.",positive
19,"I wish everyone could be happy, I think that's normal. Thank you to everyone I met on Sunday, Monday and Tuesday. Let's do our best from tomorrow. oyasuminasai",positive
20,"I was going to make a double pot meat, but it turned out to be something else. But it's delicious! It's too delicious!",positive
21,"Pancakes and sandwiches in the morning, lunch boxes and sandwiches at noon, and hot pot meat, rice and pancakes at night. The chocolate cake I baked yesterday is 30% left... Eat whatever you want, whenever you want! Let's bake tomorrow too.",positive
22,Is it interesting like Tenchi Meishatsu?,neutral
